Game Date,Away Team,Home Team,YRFI_Prob,YRFI🔥,NRFI_Prob,NRFI🔥,Total
2025-04-05,Miami Marlins,Atlanta Braves,0.38,🔥🔥,0.62,🔥🔥🔥🔥,
2025-04-05,St. Louis Cardinals,Boston Red Sox,0.185,🔥,0.815,🔥🔥🔥🔥🔥,
2025-04-05,San Diego Padres,Chicago Cubs,0.4956666666666667,🔥🔥🔥,0.5043333333333333,🔥🔥🔥,
2025-04-05,Athletics,Colorado Rockies,0.4206666666666667,🔥🔥🔥,0.5793333333333333,🔥🔥🔥,
2025-04-05,New York Yankees,Pittsburgh Pirates,0.3916666666666667,🔥🔥,0.6083333333333333,🔥🔥🔥🔥,
2025-04-06,New York Yankees,Pittsburgh Pirates,0.3916666666666667,🔥🔥,0.6083333333333333,🔥🔥🔥🔥,
2025-04-06,Cleveland Guardians,Los Angeles Angels,0.4113333333333334,🔥🔥🔥,0.5886666666666667,🔥🔥🔥,
2025-04-06,Baltimore Orioles,Kansas City Royals,0.46,🔥🔥🔥,0.54,🔥🔥🔥,
2025-04-06,Athletics,Colorado Rockies,0.4206666666666667,🔥🔥🔥,0.5793333333333333,🔥🔥🔥,
2025-04-06,Miami Marlins,Atlanta Braves,0.38,🔥🔥,0.62,🔥🔥🔥🔥,
2025-04-06,Seattle Mariners,San Francisco Giants,0.34,🔥🔥,0.6599999999999999,🔥🔥🔥🔥,
2025-04-06,Houston Astros,Minnesota Twins,0.5003333333333333,🔥🔥🔥,0.4996666666666667,🔥🔥🔥,
2025-04-06,Cincinnati Reds,Milwaukee Brewers,0.2305,🔥🔥,0.7695,🔥🔥🔥🔥,
2025-04-06,Tampa Bay Rays,Texas Rangers,0.065,🔥,0.935,🔥🔥🔥🔥🔥,
2025-04-06,San Diego Padres,Chicago Cubs,0.4956666666666667,🔥🔥🔥,0.5043333333333333,🔥🔥🔥,
2025-04-06,Chicago White Sox,Detroit Tigers,0.715,🔥🔥🔥🔥,0.28500000000000003,🔥🔥,
2025-04-06,Los Angeles Dodgers,Philadelphia Phillies,0.5495,🔥🔥🔥,0.4505,🔥🔥🔥,
2025-04-06,Toronto Blue Jays,New York Mets,0.1633333333333333,🔥,0.8366666666666667,🔥🔥🔥🔥🔥,
2025-04-06,Arizona Diamondbacks,Washington Nationals,0.5661666666666667,🔥🔥🔥,0.4338333333333333,🔥🔥🔥,
2025-04-06,St. Louis Cardinals,Boston Red Sox,0.185,🔥,0.815,🔥🔥🔥🔥🔥,
2025-04-07,Baltimore Orioles,Arizona Diamondbacks,0.53,🔥🔥🔥,0.47,🔥🔥🔥,
2025-04-07,Minnesota Twins,Kansas City Royals,0.4706666666666666,🔥🔥🔥,0.5293333333333334,🔥🔥🔥,
2025-04-07,New York Yankees,Detroit Tigers,0.4223333333333333,🔥🔥🔥,0.5776666666666668,🔥🔥🔥,
2025-04-07,Houston Astros,Seattle Mariners,0.6458333333333333,🔥🔥🔥🔥,0.35416666666666674,🔥🔥,
2025-04-07,Miami Marlins,New York Mets,0.3341666666666667,🔥🔥,0.6658333333333333,🔥🔥🔥🔥,
2025-04-07,Cincinnati Reds,San Francisco Giants,0.06,🔥,0.94,🔥🔥🔥🔥🔥,
2025-04-07,St. Louis Cardinals,Pittsburgh Pirates,0.3433333333333332,🔥🔥,0.6566666666666667,🔥🔥🔥🔥,
2025-04-07,San Diego Padres,Athletics,0.3066666666666667,🔥🔥,0.6933333333333334,🔥🔥🔥🔥,
2025-04-07,Toronto Blue Jays,Boston Red Sox,0.38,🔥🔥,0.62,🔥🔥🔥🔥,
2025-04-07,Texas Rangers,Chicago Cubs,0.5001666666666668,🔥🔥🔥,0.49983333333333324,🔥🔥🔥,
2025-04-07,Los Angeles Dodgers,Washington Nationals,0.4895,🔥🔥🔥,0.5105,🔥🔥🔥,
2025-04-08,Los Angeles Angels,Tampa Bay Rays,0.58,🔥🔥🔥,0.42000000000000004,🔥🔥🔥,
2025-04-08,St. Louis Cardinals,Pittsburgh Pirates,0.3433333333333332,🔥🔥,0.6566666666666667,🔥🔥🔥🔥,
2025-04-08,Toronto Blue Jays,Boston Red Sox,0.38,🔥🔥,0.62,🔥🔥🔥🔥,
2025-04-08,Chicago White Sox,Cleveland Guardians,0.64,🔥🔥🔥🔥,0.36,🔥🔥,
2025-04-08,Baltimore Orioles,Arizona Diamondbacks,0.53,🔥🔥🔥,0.47,🔥🔥🔥,
2025-04-08,Milwaukee Brewers,Colorado Rockies,0.4981666666666667,🔥🔥🔥,0.5018333333333334,🔥🔥🔥,
2025-04-08,San Diego Padres,Athletics,0.3066666666666667,🔥🔥,0.6933333333333334,🔥🔥🔥🔥,
2025-04-08,Houston Astros,Seattle Mariners,0.6458333333333333,🔥🔥🔥🔥,0.35416666666666674,🔥🔥,
2025-04-08,Miami Marlins,New York Mets,0.3341666666666667,🔥🔥,0.6658333333333333,🔥🔥🔥🔥,
2025-04-08,Los Angeles Dodgers,Washington Nationals,0.4895,🔥🔥🔥,0.5105,🔥🔥🔥,
2025-04-08,New York Yankees,Detroit Tigers,0.4223333333333333,🔥🔥🔥,0.5776666666666668,🔥🔥🔥,
2025-04-08,Minnesota Twins,Kansas City Royals,0.4706666666666666,🔥🔥🔥,0.5293333333333334,🔥🔥🔥,
2025-04-08,Philadelphia Phillies,Atlanta Braves,0.2306666666666666,🔥🔥,0.7693333333333334,🔥🔥🔥🔥,
2025-04-08,Texas Rangers,Chicago Cubs,0.5001666666666668,🔥🔥🔥,0.49983333333333324,🔥🔥🔥,
2025-04-08,Cincinnati Reds,San Francisco Giants,0.06,🔥,0.94,🔥🔥🔥🔥🔥,
2025-04-09,Cincinnati Reds,San Francisco Giants,0.06,🔥,0.94,🔥🔥🔥🔥🔥,
2025-04-09,Minnesota Twins,Kansas City Royals,0.4706666666666666,🔥🔥🔥,0.5293333333333334,🔥🔥🔥,
2025-04-09,San Diego Padres,Athletics,0.3066666666666667,🔥🔥,0.6933333333333334,🔥🔥🔥🔥,
2025-04-09,Miami Marlins,New York Mets,0.3341666666666667,🔥🔥,0.6658333333333333,🔥🔥🔥🔥,
2025-04-09,St. Louis Cardinals,Pittsburgh Pirates,0.3433333333333332,🔥🔥,0.6566666666666667,🔥🔥🔥🔥,
2025-04-09,Chicago White Sox,Cleveland Guardians,0.64,🔥🔥🔥🔥,0.36,🔥🔥,
2025-04-09,Toronto Blue Jays,Boston Red Sox,0.38,🔥🔥,0.62,🔥🔥🔥🔥,
2025-04-09,Los Angeles Angels,Tampa Bay Rays,0.58,🔥🔥🔥,0.42000000000000004,🔥🔥🔥,
2025-04-09,Los Angeles Dodgers,Washington Nationals,0.4895,🔥🔥🔥,0.5105,🔥🔥🔥,
2025-04-09,Houston Astros,Seattle Mariners,0.6458333333333333,🔥🔥🔥🔥,0.35416666666666674,🔥🔥,
2025-04-09,Texas Rangers,Chicago Cubs,0.5001666666666668,🔥🔥🔥,0.49983333333333324,🔥🔥🔥,
2025-04-09,New York Yankees,Detroit Tigers,0.4223333333333333,🔥🔥🔥,0.5776666666666668,🔥🔥🔥,
2025-04-09,Milwaukee Brewers,Colorado Rockies,0.4981666666666667,🔥🔥🔥,0.5018333333333334,🔥🔥🔥,
2025-04-09,Philadelphia Phillies,Atlanta Braves,0.2306666666666666,🔥🔥,0.7693333333333334,🔥🔥🔥🔥,
2025-04-09,Baltimore Orioles,Arizona Diamondbacks,0.53,🔥🔥🔥,0.47,🔥🔥🔥,
2025-04-10,Los Angeles Angels,Tampa Bay Rays,0.58,🔥🔥🔥,0.42000000000000004,🔥🔥🔥,
2025-04-10,Minnesota Twins,Kansas City Royals,0.4706666666666666,🔥🔥🔥,0.5293333333333334,🔥🔥🔥,
2025-04-10,Milwaukee Brewers,Colorado Rockies,0.4981666666666667,🔥🔥🔥,0.5018333333333334,🔥🔥🔥,
2025-04-10,Chicago White Sox,Cleveland Guardians,0.64,🔥🔥🔥🔥,0.36,🔥🔥,
2025-04-10,Toronto Blue Jays,Boston Red Sox,0.38,🔥🔥,0.62,🔥🔥🔥🔥,
2025-04-10,Philadelphia Phillies,Atlanta Braves,0.2306666666666666,🔥🔥,0.7693333333333334,🔥🔥🔥🔥,
2025-04-11,Philadelphia Phillies,St. Louis Cardinals,0.4479761904761905,🔥🔥🔥,0.5520238095238095,🔥🔥🔥,
2025-04-11,Washington Nationals,Miami Marlins,0.1871666666666666,🔥,0.8128333333333334,🔥🔥🔥🔥🔥,
2025-04-11,Boston Red Sox,Chicago White Sox,0.155,🔥,0.845,🔥🔥🔥🔥🔥,
2025-04-11,San Francisco Giants,New York Yankees,0.662,🔥🔥🔥🔥,0.33799999999999997,🔥🔥,
2025-04-11,Toronto Blue Jays,Baltimore Orioles,0.36,🔥🔥,0.64,🔥🔥🔥🔥,
2025-04-11,New York Mets,Athletics,0.3849999999999999,🔥🔥,0.6150000000000001,🔥🔥🔥🔥,
2025-04-11,Kansas City Royals,Cleveland Guardians,0.365,🔥🔥,0.635,🔥🔥🔥🔥,
2025-04-11,Chicago Cubs,Los Angeles Dodgers,0.283,🔥🔥,0.7170000000000001,🔥🔥🔥🔥,
2025-04-11,Colorado Rockies,San Diego Padres,0.1339999999999999,🔥,0.8660000000000001,🔥🔥🔥🔥🔥,
2025-04-11,Los Angeles Angels,Houston Astros,0.3925,🔥🔥,0.6074999999999999,🔥🔥🔥🔥,
2025-04-11,Detroit Tigers,Minnesota Twins,0.4233333333333333,🔥🔥🔥,0.5766666666666667,🔥🔥🔥,
2025-04-11,Atlanta Braves,Tampa Bay Rays,0.9333333333333336,🔥🔥🔥🔥🔥,0.06666666666666643,🔥,
2025-04-11,Pittsburgh Pirates,Cincinnati Reds,0.19,🔥,0.81,🔥🔥🔥🔥🔥,
2025-04-11,Milwaukee Brewers,Arizona Diamondbacks,0.296,🔥🔥,0.704,🔥🔥🔥🔥,
2025-04-11,Texas Rangers,Seattle Mariners,0.485,🔥🔥🔥,0.515,🔥🔥🔥,
2025-04-12,Atlanta Braves,Tampa Bay Rays,0.9333333333333336,🔥🔥🔥🔥🔥,0.06666666666666643,🔥,
2025-04-12,Detroit Tigers,Minnesota Twins,0.4233333333333333,🔥🔥🔥,0.5766666666666667,🔥🔥🔥,
2025-04-12,Colorado Rockies,San Diego Padres,0.1339999999999999,🔥,0.8660000000000001,🔥🔥🔥🔥🔥,
2025-04-12,New York Mets,Athletics,0.3849999999999999,🔥🔥,0.6150000000000001,🔥🔥🔥🔥,
2025-04-12,Toronto Blue Jays,Baltimore Orioles,0.36,🔥🔥,0.64,🔥🔥🔥🔥,
2025-04-12,Texas Rangers,Seattle Mariners,0.485,🔥🔥🔥,0.515,🔥🔥🔥,
2025-04-12,Chicago Cubs,Los Angeles Dodgers,0.283,🔥🔥,0.7170000000000001,🔥🔥🔥🔥,
2025-04-12,Boston Red Sox,Chicago White Sox,0.155,🔥,0.845,🔥🔥🔥🔥🔥,
2025-04-12,Kansas City Royals,Cleveland Guardians,0.365,🔥🔥,0.635,🔥🔥🔥🔥,
2025-04-12,San Francisco Giants,New York Yankees,0.662,🔥🔥🔥🔥,0.33799999999999997,🔥🔥,
2025-04-12,Milwaukee Brewers,Arizona Diamondbacks,0.296,🔥🔥,0.704,🔥🔥🔥🔥,
2025-04-12,Los Angeles Angels,Houston Astros,0.3925,🔥🔥,0.6074999999999999,🔥🔥🔥🔥,
2025-04-12,Philadelphia Phillies,St. Louis Cardinals,0.4479761904761905,🔥🔥🔥,0.5520238095238095,🔥🔥🔥,
2025-04-12,Pittsburgh Pirates,Cincinnati Reds,0.19,🔥,0.81,🔥🔥🔥🔥🔥,
2025-04-12,Washington Nationals,Miami Marlins,0.1871666666666666,🔥,0.8128333333333334,🔥🔥🔥🔥🔥,
2025-04-13,Chicago Cubs,Los Angeles Dodgers,0.283,🔥🔥,0.7170000000000001,🔥🔥🔥🔥,
2025-04-13,Milwaukee Brewers,Arizona Diamondbacks,0.296,🔥🔥,0.704,🔥🔥🔥🔥,
