Spread_Diff,ML_Diff,Log_Odds_Diff,Total,ATS Winner
-1.5,-0.5944756530529156,0.07796154146971179,8.0,Away
1.5,0.5082248420659333,0.03636764417087479,9.0,Home
-1.5,-0.44273650290539596,-0.015584731016698328,8.5,Away
1.5,-0.04676176590803938,0.08294908298075077,7.0,Home
-1.5,-0.36583531333739666,0.0051948168771039915,8.0,Home
1.5,-0.08836915045008997,0.02597548640326075,7.5,Home
1.5,0.3908663086870116,0.02597548640326075,9.5,Away
1.5,0.05209511188340177,0.07796154146971179,8.0,Home
1.5,0.34687094384211153,-0.010416760858255714,7.0,Home
-1.5,-0.6443570163905132,-0.05715841383994846,7.0,Away
-1.5,-0.4241572411203169,-0.010416760858255714,7.5,Away
-1.5,-0.1397619423751586,0.03636764417087479,9.0,Home
-1.5,-0.27727305653704526,-0.0051948168771039915,7.5,Home
1.5,0.5548741953628402,-0.015584731016698328,9.0,Home
1.5,0.2474081733138409,0.05715841383994846,7.5,Home
-1.5,-0.540639886476417,0.10371982620036635,7.5,Away
-1.5,-0.17095779814363954,-0.03636764417087479,8.0,Away
-1.5,-0.2519639898497018,0.010416760858255714,8.0,Away
-1.5,-0.2519639898497018,-0.06755815101129103,8.5,Away
1.5,-0.020834086902842053,-0.04676176590803938,7.5,Away
-1.5,-0.7852053249778927,-0.08294908298075077,7.0,Home
-1.5,-0.07796154146971179,0.05715841383994846,8.5,Away
-1.5,-0.07796154146971179,0.07796154146971179,8.5,Away
1.5,0.16532398042538354,-0.05715841383994846,10.0,Home
-1.5,-0.015584731016698328,0.05715841383994846,9.0,Away
-1.5,-0.13491931789937073,0.09878154455978383,7.5,Home
-1.5,-0.17570840090223727,0.05715841383994846,7.0,Home
-1.5,-0.3615709145509391,-0.06755815101129103,8.0,Home
-1.5,-0.2011900410983375,-0.02597548640326075,9.0,Home
-1.5,-0.17095779814363954,0.03636764417087479,8.0,Away
1.5,0.03636764417087479,-0.05209511188340177,8.0,Away
1.5,0.34687094384211153,0.03636764417087479,8.0,Home
-1.5,-0.6443570163905132,0.12451294787258238,7.5,Home
1.5,0.13491931789937073,-0.0933319397922191,6.5,Home
-1.5,-0.3615709145509391,-0.10371982620036635,8.5,Away
