Game Date,Away Team,Home Team,Away_YRFI_Rate,Away_Avg_1st,Home_YRFI_Rate,Home_Avg_1st,YRFI
2025-04-09,Milwaukee Brewers,Colorado Rockies,0.6,0.2,0.4,0.6,0
2025-04-09,New York Yankees,Detroit Tigers,0.16666666666666666,0.16666666666666666,0.5,0.5,0
2025-04-09,Minnesota Twins,Kansas City Royals,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.5555555555555556,0
2025-04-09,Miami Marlins,New York Mets,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0
2025-04-09,St. Louis Cardinals,Pittsburgh Pirates,0.42857142857142855,0.14285714285714285,0.3333333333333333,0.16666666666666666,0
2025-04-09,Cincinnati Reds,San Francisco Giants,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.16666666666666666,0
2025-04-09,Houston Astros,Seattle Mariners,0.5,0.3333333333333333,0.2,0.0,0
2025-04-09,Los Angeles Angels,Tampa Bay Rays,0.5,0.375,0.375,1.125,1
2025-04-09,Los Angeles Dodgers,Washington Nationals,0.8333333333333334,1.0,0.5555555555555556,1.4444444444444444,1
2025-04-10,Philadelphia Phillies,Atlanta Braves,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,1
2025-04-10,Toronto Blue Jays,Boston Red Sox,0.2857142857142857,0.14285714285714285,0.375,0.875,0
2025-04-10,Chicago White Sox,Cleveland Guardians,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.3333333333333333,1
2025-04-10,Milwaukee Brewers,Colorado Rockies,0.6666666666666666,0.16666666666666666,0.5,0.6666666666666666,1
2025-04-10,Minnesota Twins,Kansas City Royals,0.7,0.2,0.4,0.6,1
2025-04-10,Los Angeles Angels,Tampa Bay Rays,0.5555555555555556,0.4444444444444444,0.4444444444444444,1.0,1
2025-04-11,Milwaukee Brewers,Arizona Diamondbacks,0.5714285714285714,0.14285714285714285,0.5,0.375,0
2025-04-11,New York Mets,Athletics,0.42857142857142855,0.14285714285714285,0.5714285714285714,1.1428571428571428,0
2025-04-11,Toronto Blue Jays,Baltimore Orioles,0.25,0.125,0.5,1.25,0
2025-04-11,Boston Red Sox,Chicago White Sox,0.375,0.25,0.42857142857142855,0.7142857142857143,0
2025-04-11,Pittsburgh Pirates,Cincinnati Reds,0.375,0.125,0.5714285714285714,1.0,1
2025-04-11,Kansas City Royals,Cleveland Guardians,0.5,0.75,0.5,1.0,0
